Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.231,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.23125,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.2315,True,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.23175,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.232,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
3.0,0.23224999999999998,False,17030569.224247634,True
